judging from previous posts this used to be a good place , but not any longer . [O] [A] [S]	[O] good [A] place [S] bad
the seafood is amazing , there 's a good wine list , and the ever-changing menu always offers some great surprises . [O] [A] [S]	[O] amazing [A] seafood [S] good [SSEP] [O] good [A] wine list [S] good [SSEP] [O] ever-changing [A] menu [S] good [SSEP] [O] great surprises [A] menu [S] good
the seafood is amazing , there 's a good wine list , and the ever-changing menu always offers some great surprises . [A] [O] [S]	[A] seafood [O] amazing [S] good [SSEP] [A] wine list [O] good [S] good [SSEP] [A] menu [O] ever-changing [S] good [SSEP] [A] menu [O] great surprises [S] good
the seafood is amazing , there 's a good wine list , and the ever-changing menu always offers some great surprises . [O] [S] [A]	[O] amazing [S] good [A] seafood [SSEP] [O] good [S] good [A] wine list [SSEP] [O] ever-changing [S] good [A] menu [SSEP] [O] great surprises [S] good [A] menu
the seafood is amazing , there 's a good wine list , and the ever-changing menu always offers some great surprises . [A] [S] [O]	[A] seafood [S] good [O] amazing [SSEP] [A] wine list [S] good [O] good [SSEP] [A] menu [S] good [O] ever-changing [SSEP] [A] menu [S] good [O] great surprises
the seafood is amazing , there 's a good wine list , and the ever-changing menu always offers some great surprises . [S] [O] [A]	[S] good [O] amazing [A] seafood [SSEP] [S] good [O] good [A] wine list [SSEP] [S] good [O] ever-changing [A] menu [SSEP] [S] good [O] great surprises [A] menu
the combination of super-fresh ingredients in the dishes are unusual but really delicious . [O] [A] [S]	[O] super-fresh [A] ingredients [S] good [SSEP] [O] delicious [A] ingredients [S] good
the combination of super-fresh ingredients in the dishes are unusual but really delicious . [A] [O] [S]	[A] ingredients [O] super-fresh [S] good [SSEP] [A] ingredients [O] delicious [S] good
the combination of super-fresh ingredients in the dishes are unusual but really delicious . [O] [S] [A]	[O] super-fresh [S] good [A] ingredients [SSEP] [O] delicious [S] good [A] ingredients
the combination of super-fresh ingredients in the dishes are unusual but really delicious . [A] [S] [O]	[A] ingredients [S] good [O] super-fresh [SSEP] [A] ingredients [S] good [O] delicious
the combination of super-fresh ingredients in the dishes are unusual but really delicious . [S] [O] [A]	[S] good [O] super-fresh [A] ingredients [SSEP] [S] good [O] delicious [A] ingredients
as a japanese native , i 've lived in the tristate area for over 8 years , but i was just so amazed at this place . [O] [A] [S]	[O] amazed [A] place [S] good
as a japanese native , i 've lived in the tristate area for over 8 years , but i was just so amazed at this place . [A] [O] [S]	[A] place [O] amazed [S] good
as a japanese native , i 've lived in the tristate area for over 8 years , but i was just so amazed at this place . [O] [S] [A]	[O] amazed [S] good [A] place
as a japanese native , i 've lived in the tristate area for over 8 years , but i was just so amazed at this place . [A] [S] [O]	[A] place [S] good [O] amazed
as a japanese native , i 've lived in the tristate area for over 8 years , but i was just so amazed at this place . [S] [O] [A]	[S] good [O] amazed [A] place
the signs , the specials menus , food , and even all the waitstaff are all totally japanese . [O] [A] [S]	[O] japanese [A] signs [S] good [SSEP] [O] japanese [A] specials menus [S] good [SSEP] [O] japanese [A] food [S] good [SSEP] [O] japanese [A] waitstaff [S] good
the signs , the specials menus , food , and even all the waitstaff are all totally japanese . [A] [O] [S]	[A] signs [O] japanese [S] good [SSEP] [A] specials menus [O] japanese [S] good [SSEP] [A] food [O] japanese [S] good [SSEP] [A] waitstaff [O] japanese [S] good
the signs , the specials menus , food , and even all the waitstaff are all totally japanese . [O] [S] [A]	[O] japanese [S] good [A] signs [SSEP] [O] japanese [S] good [A] specials menus [SSEP] [O] japanese [S] good [A] food [SSEP] [O] japanese [S] good [A] waitstaff
the signs , the specials menus , food , and even all the waitstaff are all totally japanese . [A] [S] [O]	[A] signs [S] good [O] japanese [SSEP] [A] specials menus [S] good [O] japanese [SSEP] [A] food [S] good [O] japanese [SSEP] [A] waitstaff [S] good [O] japanese
the signs , the specials menus , food , and even all the waitstaff are all totally japanese . [S] [O] [A]	[S] good [O] japanese [A] signs [SSEP] [S] good [O] japanese [A] specials menus [SSEP] [S] good [O] japanese [A] food [SSEP] [S] good [O] japanese [A] waitstaff
this place is worth an one-hour drive . [O] [A] [S]	[O] worth [A] place [S] good
this place is worth an one-hour drive . [A] [O] [S]	[A] place [O] worth [S] good
this place is worth an one-hour drive . [O] [S] [A]	[O] worth [S] good [A] place
this place is worth an one-hour drive . [A] [S] [O]	[A] place [S] good [O] worth
this place is worth an one-hour drive . [S] [O] [A]	[S] good [O] worth [A] place
my wife and i always enjoy the young , not always well trained but nevertheless friendly , staff , all of whom have a story . [O] [A] [S]	[O] enjoy [A] staff [S] good [SSEP] [O] young [A] staff [S] good [SSEP] [O] not always well trained [A] staff [S] good [SSEP] [O] friendly [A] staff [S] good
my wife and i always enjoy the young , not always well trained but nevertheless friendly , staff , all of whom have a story . [A] [O] [S]	[A] staff [O] enjoy [S] good [SSEP] [A] staff [O] young [S] good [SSEP] [A] staff [O] not always well trained [S] good [SSEP] [A] staff [O] friendly [S] good
my wife and i always enjoy the young , not always well trained but nevertheless friendly , staff , all of whom have a story . [O] [S] [A]	[O] enjoy [S] good [A] staff [SSEP] [O] young [S] good [A] staff [SSEP] [O] not always well trained [S] good [A] staff [SSEP] [O] friendly [S] good [A] staff
my wife and i always enjoy the young , not always well trained but nevertheless friendly , staff , all of whom have a story . [A] [S] [O]	[A] staff [S] good [O] enjoy [SSEP] [A] staff [S] good [O] young [SSEP] [A] staff [S] good [O] not always well trained [SSEP] [A] staff [S] good [O] friendly
my wife and i always enjoy the young , not always well trained but nevertheless friendly , staff , all of whom have a story . [S] [O] [A]	[S] good [O] enjoy [A] staff [SSEP] [S] good [O] young [A] staff [SSEP] [S] good [O] not always well trained [A] staff [SSEP] [S] good [O] friendly [A] staff
decent wine at reasonable prices . [O] [A] [S]	[O] decent [A] wine [S] good
decent wine at reasonable prices . [A] [O] [S]	[A] wine [O] decent [S] good
decent wine at reasonable prices . [O] [S] [A]	[O] decent [S] good [A] wine
decent wine at reasonable prices . [A] [S] [O]	[A] wine [S] good [O] decent
decent wine at reasonable prices . [S] [O] [A]	[S] good [O] decent [A] wine
this is by far my favorite place in the neighborhood . [O] [A] [S]	[O] favorite [A] place [S] good
this is by far my favorite place in the neighborhood . [A] [O] [S]	[A] place [O] favorite [S] good
this is by far my favorite place in the neighborhood . [O] [S] [A]	[O] favorite [S] good [A] place
this is by far my favorite place in the neighborhood . [A] [S] [O]	[A] place [S] good [O] favorite
this is by far my favorite place in the neighborhood . [S] [O] [A]	[S] good [O] favorite [A] place
the service is excellent , the decor is great , and the food is delicious and comes in large portions . [O] [A] [S]	[O] excellent [A] service [S] good [SSEP] [O] great [A] decor [S] good [SSEP] [O] delicious [A] food [S] good [SSEP] [O] large [A] portions [S] good
the service is excellent , the decor is great , and the food is delicious and comes in large portions . [A] [O] [S]	[A] service [O] excellent [S] good [SSEP] [A] decor [O] great [S] good [SSEP] [A] food [O] delicious [S] good [SSEP] [A] portions [O] large [S] good
the service is excellent , the decor is great , and the food is delicious and comes in large portions . [O] [S] [A]	[O] excellent [S] good [A] service [SSEP] [O] great [S] good [A] decor [SSEP] [O] delicious [S] good [A] food [SSEP] [O] large [S] good [A] portions
the service is excellent , the decor is great , and the food is delicious and comes in large portions . [A] [S] [O]	[A] service [S] good [O] excellent [SSEP] [A] decor [S] good [O] great [SSEP] [A] food [S] good [O] delicious [SSEP] [A] portions [S] good [O] large
the service is excellent , the decor is great , and the food is delicious and comes in large portions . [S] [O] [A]	[S] good [O] excellent [A] service [SSEP] [S] good [O] great [A] decor [SSEP] [S] good [O] delicious [A] food [SSEP] [S] good [O] large [A] portions
i 'm partial to the gnocchi . [O] [A] [S]	[O] partial [A] gnocchi [S] good
i 'm partial to the gnocchi . [A] [O] [S]	[A] gnocchi [O] partial [S] good
i 'm partial to the gnocchi . [O] [S] [A]	[O] partial [S] good [A] gnocchi
i 'm partial to the gnocchi . [A] [S] [O]	[A] gnocchi [S] good [O] partial
i 'm partial to the gnocchi . [S] [O] [A]	[S] good [O] partial [A] gnocchi
this place is incredibly tiny . [O] [A] [S]	[O] tiny [A] place [S] bad
this place is incredibly tiny . [A] [O] [S]	[A] place [O] tiny [S] bad
this place is incredibly tiny . [O] [S] [A]	[O] tiny [S] bad [A] place
this place is incredibly tiny . [A] [S] [O]	[A] place [S] bad [O] tiny
this place is incredibly tiny . [S] [O] [A]	[S] bad [O] tiny [A] place
the hostess is rude to the point of being offensive . [O] [A] [S]	[O] rude [A] hostess [S] bad [SSEP] [O] offensive [A] hostess [S] bad
the hostess is rude to the point of being offensive . [A] [O] [S]	[A] hostess [O] rude [S] bad [SSEP] [A] hostess [O] offensive [S] bad
the hostess is rude to the point of being offensive . [O] [S] [A]	[O] rude [S] bad [A] hostess [SSEP] [O] offensive [S] bad [A] hostess
the hostess is rude to the point of being offensive . [A] [S] [O]	[A] hostess [S] bad [O] rude [SSEP] [A] hostess [S] bad [O] offensive
the hostess is rude to the point of being offensive . [S] [O] [A]	[S] bad [O] rude [A] hostess [SSEP] [S] bad [O] offensive [A] hostess
we have been to this place many times , and always have great food , wine , and service . [O] [A] [S]	[O] great [A] food [S] good [SSEP] [O] great [A] wine [S] good [SSEP] [O] great [A] service [S] good
we have been to this place many times , and always have great food , wine , and service . [A] [O] [S]	[A] food [O] great [S] good [SSEP] [A] wine [O] great [S] good [SSEP] [A] service [O] great [S] good
we have been to this place many times , and always have great food , wine , and service . [O] [S] [A]	[O] great [S] good [A] food [SSEP] [O] great [S] good [A] wine [SSEP] [O] great [S] good [A] service
we have been to this place many times , and always have great food , wine , and service . [A] [S] [O]	[A] food [S] good [O] great [SSEP] [A] wine [S] good [O] great [SSEP] [A] service [S] good [O] great
we have been to this place many times , and always have great food , wine , and service . [S] [O] [A]	[S] good [O] great [A] food [SSEP] [S] good [O] great [A] wine [SSEP] [S] good [O] great [A] service
we were worried we would have trouble getting in , but somehow managed to have a short wait . [O] [A] [S]	[O] short [A] wait [S] good
we were worried we would have trouble getting in , but somehow managed to have a short wait . [A] [O] [S]	[A] wait [O] short [S] good
we were worried we would have trouble getting in , but somehow managed to have a short wait . [O] [S] [A]	[O] short [S] good [A] wait
we were worried we would have trouble getting in , but somehow managed to have a short wait . [A] [S] [O]	[A] wait [S] good [O] short
we were worried we would have trouble getting in , but somehow managed to have a short wait . [S] [O] [A]	[S] good [O] short [A] wait
as always we had a great glass of wine while we waited . [O] [A] [S]	[O] great [A] glass of wine [S] good
as always we had a great glass of wine while we waited . [A] [O] [S]	[A] glass of wine [O] great [S] good
as always we had a great glass of wine while we waited . [O] [S] [A]	[O] great [S] good [A] glass of wine
as always we had a great glass of wine while we waited . [A] [S] [O]	[A] glass of wine [S] good [O] great
as always we had a great glass of wine while we waited . [S] [O] [A]	[S] good [O] great [A] glass of wine
when we sat , we got great and fast service . [O] [A] [S]	[O] great [A] service [S] good [SSEP] [O] fast [A] service [S] good
when we sat , we got great and fast service . [A] [O] [S]	[A] service [O] great [S] good [SSEP] [A] service [O] fast [S] good
when we sat , we got great and fast service . [O] [S] [A]	[O] great [S] good [A] service [SSEP] [O] fast [S] good [A] service
when we sat , we got great and fast service . [A] [S] [O]	[A] service [S] good [O] great [SSEP] [A] service [S] good [O] fast
when we sat , we got great and fast service . [S] [O] [A]	[S] good [O] great [A] service [SSEP] [S] good [O] fast [A] service
the people that work there are always so friendly you forget you are in new york sometimes . [O] [A] [S]	[O] friendly [A] people [S] good
the people that work there are always so friendly you forget you are in new york sometimes . [A] [O] [S]	[A] people [O] friendly [S] good
the people that work there are always so friendly you forget you are in new york sometimes . [O] [S] [A]	[O] friendly [S] good [A] people
the people that work there are always so friendly you forget you are in new york sometimes . [A] [S] [O]	[A] people [S] good [O] friendly
