but the staff was so horrible to us . [O] [A] [S]	[O] horrible [A] staff [S] bad
the cuisine from what i 've gathered is authentic taiwanese , though its very different from what i 've been accustomed to in taipei . [O] [S] [A]	[O] different [S] ok [A] cuisine
the cuisine from what i 've gathered is authentic taiwanese , though its very different from what i 've been accustomed to in taipei . [A] [O] [S]	[A] cuisine [O] different [S] ok
the cuisine from what i 've gathered is authentic taiwanese , though its very different from what i 've been accustomed to in taipei . [A] [S] [O]	[A] cuisine [S] ok [O] different
the cuisine from what i 've gathered is authentic taiwanese , though its very different from what i 've been accustomed to in taipei . [S] [O] [A]	[S] ok [O] different [A] cuisine
i almost hesititate to write a review because the atmosphere was so great and i would hate for it too become to crowded . [O] [A] [S]	[O] great [A] atmosphere [S] good
i almost hesititate to write a review because the atmosphere was so great and i would hate for it too become to crowded . [O] [S] [A]	[O] great [S] good [A] atmosphere
i almost hesititate to write a review because the atmosphere was so great and i would hate for it too become to crowded . [A] [O] [S]	[A] atmosphere [O] great [S] good
i almost hesititate to write a review because the atmosphere was so great and i would hate for it too become to crowded . [A] [S] [O]	[A] atmosphere [S] good [O] great
i almost hesititate to write a review because the atmosphere was so great and i would hate for it too become to crowded . [S] [O] [A]	[S] good [O] great [A] atmosphere
they are often crowded on the weekends but they are efficient and accurate with their service . [O] [A] [S]	[O] efficient [A] service [S] good [SSEP] [O] accurate [A] service [S] good [SSEP] [O] crowded [A] crowded [S] bad
they are often crowded on the weekends but they are efficient and accurate with their service . [O] [S] [A]	[O] efficient [S] good [A] service [SSEP] [O] accurate [S] good [A] service [SSEP] [O] crowded [S] bad [A] crowded
they are often crowded on the weekends but they are efficient and accurate with their service . [A] [O] [S]	[A] service [O] efficient [S] good [SSEP] [A] service [O] accurate [S] good [SSEP] [A] crowded [O] crowded [S] bad
they are often crowded on the weekends but they are efficient and accurate with their service . [A] [S] [O]	[A] service [S] good [O] efficient [SSEP] [A] service [S] good [O] accurate [SSEP] [A] crowded [S] bad [O] crowded
they are often crowded on the weekends but they are efficient and accurate with their service . [S] [O] [A]	[S] good [O] efficient [A] service [SSEP] [S] good [O] accurate [A] service [SSEP] [S] bad [O] crowded [A] crowded
the atmosphere is unheralded , the service impeccable , and the food magnificant . [O] [A] [S]	[O] unheralded [A] atmosphere [S] good [SSEP] [O] impeccable [A] service [S] good [SSEP] [O] magnificant [A] food [S] good
the atmosphere is unheralded , the service impeccable , and the food magnificant . [O] [S] [A]	[O] unheralded [S] good [A] atmosphere [SSEP] [O] impeccable [S] good [A] service [SSEP] [O] magnificant [S] good [A] food
the atmosphere is unheralded , the service impeccable , and the food magnificant . [A] [O] [S]	[A] atmosphere [O] unheralded [S] good [SSEP] [A] service [O] impeccable [S] good [SSEP] [A] food [O] magnificant [S] good
the atmosphere is unheralded , the service impeccable , and the food magnificant . [A] [S] [O]	[A] atmosphere [S] good [O] unheralded [SSEP] [A] service [S] good [O] impeccable [SSEP] [A] food [S] good [O] magnificant
the atmosphere is unheralded , the service impeccable , and the food magnificant . [S] [O] [A]	[S] good [O] unheralded [A] atmosphere [SSEP] [S] good [O] impeccable [A] service [SSEP] [S] good [O] magnificant [A] food
we ordered the special , grilled branzino , that was so infused with bone , it was difficult to eat . [O] [A] [S]	[O] difficult to eat [A] grilled branzino [S] bad
we ordered the special , grilled branzino , that was so infused with bone , it was difficult to eat . [O] [S] [A]	[O] difficult to eat [S] bad [A] grilled branzino
we ordered the special , grilled branzino , that was so infused with bone , it was difficult to eat . [A] [O] [S]	[A] grilled branzino [O] difficult to eat [S] bad
we ordered the special , grilled branzino , that was so infused with bone , it was difficult to eat . [A] [S] [O]	[A] grilled branzino [S] bad [O] difficult to eat
we ordered the special , grilled branzino , that was so infused with bone , it was difficult to eat . [S] [O] [A]	[S] bad [O] difficult to eat [A] grilled branzino
right off the l in brooklyn this is a nice cozy place with good pizza . [O] [A] [S]	[O] good [A] pizza [S] good [SSEP] [O] nice cozy [A] place [S] good
right off the l in brooklyn this is a nice cozy place with good pizza . [O] [S] [A]	[O] good [S] good [A] pizza [SSEP] [O] nice cozy [S] good [A] place
right off the l in brooklyn this is a nice cozy place with good pizza . [A] [O] [S]	[A] pizza [O] good [S] good [SSEP] [A] place [O] nice cozy [S] good
right off the l in brooklyn this is a nice cozy place with good pizza . [A] [S] [O]	[A] pizza [S] good [O] good [SSEP] [A] place [S] good [O] nice cozy
right off the l in brooklyn this is a nice cozy place with good pizza . [S] [O] [A]	[S] good [O] good [A] pizza [SSEP] [S] good [O] nice cozy [A] place
le pere pinard has a $ 15 pre-theater menu that is outstanding . [O] [A] [S]	[O] outstanding [A] pre-theater menu [S] good
le pere pinard has a $ 15 pre-theater menu that is outstanding . [O] [S] [A]	[O] outstanding [S] good [A] pre-theater menu
le pere pinard has a $ 15 pre-theater menu that is outstanding . [A] [O] [S]	[A] pre-theater menu [O] outstanding [S] good
le pere pinard has a $ 15 pre-theater menu that is outstanding . [A] [S] [O]	[A] pre-theater menu [S] good [O] outstanding
le pere pinard has a $ 15 pre-theater menu that is outstanding . [S] [O] [A]	[S] good [O] outstanding [A] pre-theater menu
the strong scents coming from the left and right of me negatively affected my taste buds . [O] [A] [S]	[O] strong [A] scents [S] bad
the strong scents coming from the left and right of me negatively affected my taste buds . [O] [S] [A]	[O] strong [S] bad [A] scents
the strong scents coming from the left and right of me negatively affected my taste buds . [A] [O] [S]	[A] scents [O] strong [S] bad
the strong scents coming from the left and right of me negatively affected my taste buds . [A] [S] [O]	[A] scents [S] bad [O] strong
the strong scents coming from the left and right of me negatively affected my taste buds . [S] [O] [A]	[S] bad [O] strong [A] scents
we had the lobster sandwich and it was fantastic . [O] [A] [S]	[O] fantastic [A] lobster sandwich [S] good
we had the lobster sandwich and it was fantastic . [O] [S] [A]	[O] fantastic [S] good [A] lobster sandwich
we had the lobster sandwich and it was fantastic . [A] [O] [S]	[A] lobster sandwich [O] fantastic [S] good
we had the lobster sandwich and it was fantastic . [A] [S] [O]	[A] lobster sandwich [S] good [O] fantastic
we had the lobster sandwich and it was fantastic . [S] [O] [A]	[S] good [O] fantastic [A] lobster sandwich
though the spider roll may look like a challenge to eat , with soft shell crab hanging out of the roll , it is well worth the price you pay for them . [O] [A] [S]	[O] well worth [A] price [S] good [SSEP] [O] soft [A] shell crab [S] good
though the spider roll may look like a challenge to eat , with soft shell crab hanging out of the roll , it is well worth the price you pay for them . [O] [S] [A]	[O] well worth [S] good [A] price [SSEP] [O] soft [S] good [A] shell crab
though the spider roll may look like a challenge to eat , with soft shell crab hanging out of the roll , it is well worth the price you pay for them . [A] [O] [S]	[A] price [O] well worth [S] good [SSEP] [A] shell crab [O] soft [S] good
though the spider roll may look like a challenge to eat , with soft shell crab hanging out of the roll , it is well worth the price you pay for them . [A] [S] [O]	[A] price [S] good [O] well worth [SSEP] [A] shell crab [S] good [O] soft
though the spider roll may look like a challenge to eat , with soft shell crab hanging out of the roll , it is well worth the price you pay for them . [S] [O] [A]	[S] good [O] well worth [A] price [SSEP] [S] good [O] soft [A] shell crab
deep fried skewers are good and still rare to find in nyc . [O] [A] [S]	[O] good [A] deep fried skewers [S] good [SSEP] [O] rare [A] deep fried skewers [S] good
deep fried skewers are good and still rare to find in nyc . [O] [S] [A]	[O] good [S] good [A] deep fried skewers [SSEP] [O] rare [S] good [A] deep fried skewers
deep fried skewers are good and still rare to find in nyc . [A] [O] [S]	[A] deep fried skewers [O] good [S] good [SSEP] [A] deep fried skewers [O] rare [S] good
deep fried skewers are good and still rare to find in nyc . [A] [S] [O]	[A] deep fried skewers [S] good [O] good [SSEP] [A] deep fried skewers [S] good [O] rare
deep fried skewers are good and still rare to find in nyc . [S] [O] [A]	[S] good [O] good [A] deep fried skewers [SSEP] [S] good [O] rare [A] deep fried skewers
i also recommend the rice dishes or the different varieties of congee ( rice porridge ) . [O] [A] [S]	[O] recommend [A] rice dishes [S] good [SSEP] [O] recommend [A] congee ( rice porridge ) [S] good
i also recommend the rice dishes or the different varieties of congee ( rice porridge ) . [O] [S] [A]	[O] recommend [S] good [A] rice dishes [SSEP] [O] recommend [S] good [A] congee ( rice porridge )
i also recommend the rice dishes or the different varieties of congee ( rice porridge ) . [A] [O] [S]	[A] rice dishes [O] recommend [S] good [SSEP] [A] congee ( rice porridge ) [O] recommend [S] good
i also recommend the rice dishes or the different varieties of congee ( rice porridge ) . [A] [S] [O]	[A] rice dishes [S] good [O] recommend [SSEP] [A] congee ( rice porridge ) [S] good [O] recommend
i also recommend the rice dishes or the different varieties of congee ( rice porridge ) . [S] [O] [A]	[S] good [O] recommend [A] rice dishes [SSEP] [S] good [O] recommend [A] congee ( rice porridge )
their tuna tartar appetizer is to die for . [O] [A] [S]	[O] die for [A] tuna tartar appetizer [S] good
their tuna tartar appetizer is to die for . [O] [S] [A]	[O] die for [S] good [A] tuna tartar appetizer
their tuna tartar appetizer is to die for . [A] [O] [S]	[A] tuna tartar appetizer [O] die for [S] good
their tuna tartar appetizer is to die for . [A] [S] [O]	[A] tuna tartar appetizer [S] good [O] die for
their tuna tartar appetizer is to die for . [S] [O] [A]	[S] good [O] die for [A] tuna tartar appetizer
an oasis of refinement : food , though somewhat uneven , often reaches the pinnacles of new american fine cuisine - chef 's passion ( and kitchen 's precise execution ) is most evident in the fish dishes and soups . [O] [A] [S]	[O] passion [A] chef [S] good [SSEP] [O] evident [A] fish dishes [S] good [SSEP] [O] evident [A] soups [S] good [SSEP] [O] precise execution [A] kitchen [S] good
an oasis of refinement : food , though somewhat uneven , often reaches the pinnacles of new american fine cuisine - chef 's passion ( and kitchen 's precise execution ) is most evident in the fish dishes and soups . [O] [S] [A]	[O] passion [S] good [A] chef [SSEP] [O] evident [S] good [A] fish dishes [SSEP] [O] evident [S] good [A] soups [SSEP] [O] precise execution [S] good [A] kitchen
an oasis of refinement : food , though somewhat uneven , often reaches the pinnacles of new american fine cuisine - chef 's passion ( and kitchen 's precise execution ) is most evident in the fish dishes and soups . [A] [O] [S]	[A] chef [O] passion [S] good [SSEP] [A] fish dishes [O] evident [S] good [SSEP] [A] soups [O] evident [S] good [SSEP] [A] kitchen [O] precise execution [S] good
an oasis of refinement : food , though somewhat uneven , often reaches the pinnacles of new american fine cuisine - chef 's passion ( and kitchen 's precise execution ) is most evident in the fish dishes and soups . [A] [S] [O]	[A] chef [S] good [O] passion [SSEP] [A] fish dishes [S] good [O] evident [SSEP] [A] soups [S] good [O] evident [SSEP] [A] kitchen [S] good [O] precise execution
an oasis of refinement : food , though somewhat uneven , often reaches the pinnacles of new american fine cuisine - chef 's passion ( and kitchen 's precise execution ) is most evident in the fish dishes and soups . [S] [O] [A]	[S] good [O] passion [A] chef [SSEP] [S] good [O] evident [A] fish dishes [SSEP] [S] good [O] evident [A] soups [SSEP] [S] good [O] precise execution [A] kitchen
if you love wine and cheese and delicious french fare , you 'll love artisanal ! [O] [A] [S]	[O] love [A] wine [S] good [SSEP] [O] love [A] french fare [S] good [SSEP] [O] love [A] cheese [S] good
if you love wine and cheese and delicious french fare , you 'll love artisanal ! [O] [S] [A]	[O] love [S] good [A] wine [SSEP] [O] love [S] good [A] french fare [SSEP] [O] love [S] good [A] cheese
if you love wine and cheese and delicious french fare , you 'll love artisanal ! [A] [O] [S]	[A] wine [O] love [S] good [SSEP] [A] french fare [O] love [S] good [SSEP] [A] cheese [O] love [S] good
if you love wine and cheese and delicious french fare , you 'll love artisanal ! [A] [S] [O]	[A] wine [S] good [O] love [SSEP] [A] french fare [S] good [O] love [SSEP] [A] cheese [S] good [O] love
